Country,Region,Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita) dollars
Tunisia,NORTHERN AFRICA,"62,2","24,77",6900 dollars

Turkey,NEAR EAST,"90,2","41,04",6700 dollars

Turkmenistan,C.W. OF IND. STATES,"10,3","73,08",5800 dollars

Turks & Caicos Is,LATIN AMER. & CARIB,"49,2","15,67",9600 dollars

Tuvalu,OCEANIA,"454,2","20,03",1100 dollars

Uganda,SUB-SAHARAN AFRICA,"119,5","67,83",1400 dollars

Ukraine,C.W. OF IND. STATES,"77,4","20,34",5400 dollars

United Arab Emirates,NEAR EAST,"31,4","14,51",23200 dollars

United Kingdom,WESTERN EUROPE,"247,6","5,16",27700 dollars

United States,NORTHERN AMERICA,"31,0","6,5",37800 dollars

Uruguay,LATIN AMER. & CARIB,"19,5","11,95",12800 dollars

Uzbekistan,C.W. OF IND. STATES,"61,0","71,1",1700 dollars

Vanuatu,OCEANIA,"17,1","55,16",2900 dollars

Venezuela,LATIN AMER. & CARIB,"28,2","22,2",4800 dollars

Vietnam,ASIA (EX. NEAR EAST),"256,1","25,95",2500 dollars

Virgin Islands,LATIN AMER. & CARIB,"56,9","8,03",17200 dollars

Wallis and Futuna,OCEANIA,"58,5",,3700 dollars

West Bank,NEAR EAST,"419,9","19,62",800 dollars

Western Sahara,NORTHERN AFRICA,"1,0",,

Yemen,NEAR EAST,"40,6","61,5",800 dollars

Zambia,SUB-SAHARAN AFRICA,"15,3","88,29",800 dollars

Zimbabwe,SUB-SAHARAN AFRICA,"31,3","67,69",1900 dollars

